Order Date,Order Month,Region,Category,Sales
2017-11-08,2017-11,South,Furniture,261.96
2017-11-08,2017-11,South,Furniture,731.94
2017-06-12,2017-06,West,Office Supplies,14.62
2016-10-11,2016-10,South,Furniture,957.5775
2016-10-11,2016-10,South,Office Supplies,22.368
2015-06-09,2015-06,West,Furniture,48.86
2015-06-09,2015-06,West,Office Supplies,7.28
2015-06-09,2015-06,West,Technology,907.152
2015-06-09,2015-06,West,Office Supplies,18.504
2015-06-09,2015-06,West,Office Supplies,114.9
2015-06-09,2015-06,West,Furniture,1706.184
2015-06-09,2015-06,West,Technology,911.424
2018-04-15,2018-04,South,Office Supplies,15.552
2017-12-05,2017-12,West,Office Supplies,407.976
2016-11-22,2016-11,Central,Office Supplies,68.81
2016-11-22,2016-11,Central,Office Supplies,2.544
2015-11-11,2015-11,Central,Office Supplies,665.88
2015-05-13,2015-05,West,Office Supplies,55.5
2015-08-27,2015-08,West,Office Supplies,8.56
2015-08-27,2015-08,West,Technology,213.48
2015-08-27,2015-08,West,Office Supplies,22.72
2017-12-09,2017-12,Central,Office Supplies,19.46
2017-12-09,2017-12,Central,Office Supplies,60.34
2018-07-16,2018-07,East,Furniture,71.372
2016-09-25,2016-09,West,Furniture,1044.63
2017-01-16,2017-01,West,Office Supplies,11.648
2017-01-16,2017-01,West,Technology,90.57
2016-09-17,2016-09,East,Furniture,3083.43
2016-09-17,2016-09,East,Office Supplies,9.618
2016-09-17,2016-09,East,Furniture,124.2
2016-09-17,2016-09,East,Office Supplies,3.264
2016-09-17,2016-09,East,Office Supplies,86.304
2016-09-17,2016-09,East,Office Supplies,6.858
2016-09-17,2016-09,East,Office Supplies,15.76
2018-10-19,2018-10,Central,Office Supplies,29.472
2017-12-08,2017-12,Central,Technology,1097.544
2017-12-08,2017-12,Central,Furniture,190.92
2016-12-27,2016-12,Central,Office Supplies,113.328
2016-12-27,2016-12,Central,Furniture,532.3992
2016-12-27,2016-12,Central,Furniture,212.058
2016-12-27,2016-12,Central,Technology,371.168
2018-09-10,2018-09,Central,Technology,147.168
2017-07-17,2017-07,West,Office Supplies,77.88
2018-09-19,2018-09,South,Office Supplies,95.616
2017-03-11,2017-03,Central,Technology,45.98
2017-03-11,2017-03,Central,Office Supplies,17.46
2015-10-20,2015-10,Central,Office Supplies,211.96
2017-06-20,2017-06,East,Technology,45.0
2017-06-20,2017-06,East,Technology,21.8
2016-04-18,2016-04,Central,Office Supplies,38.22
2016-04-18,2016-04,Central,Office Supplies,75.18
2016-04-18,2016-04,Central,Furniture,6.16
2016-04-18,2016-04,Central,Furniture,89.99
2017-12-11,2017-12,East,Office Supplies,15.26
2017-12-11,2017-12,East,Technology,1029.95
2017-06-17,2017-06,East,Office Supplies,208.56
2017-06-17,2017-06,East,Office Supplies,32.4
2017-06-17,2017-06,East,Furniture,319.41
2017-06-17,2017-06,East,Office Supplies,14.56
